DateTime,QR Code,Status,Image Path
1/24/2026 10:09:31 PM,25021553-088,Boarder,C:\Users\admin\Documents\Hostel Entrance System\Captured\BOARDER_2026-01-24_22-09-31.png
1/24/2026 10:09:39 PM,25011509-092,Boarder,C:\Users\admin\Documents\Hostel Entrance System\Captured\BOARDER_2026-01-24_22-09-39.png
1/24/2026 10:33:40 PM,25021553-088,Boarder,C:\Users\admin\Documents\Hostel Entrance System\Captured\BOARDER_2026-01-24_22-33-39.png
1/24/2026 10:34:19 PM,25021553-088,Boarder,C:\Users\admin\Documents\Hostel Entrance System\Captured\BOARDER_2026-01-24_22-34-18.png
1/24/2026 10:34:39 PM,25011509-092,Boarder,C:\Users\admin\Documents\Hostel Entrance System\Captured\BOARDER_2026-01-24_22-34-39.png
1/24/2026 10:34:42 PM,25011509-092,Boarder,C:\Users\admin\Documents\Hostel Entrance System\Captured\BOARDER_2026-01-24_22-34-42.png
1/24/2026 10:34:45 PM,25011509-092,Boarder,C:\Users\admin\Documents\Hostel Entrance System\Captured\BOARDER_2026-01-24_22-34-45.png
1/24/2026 10:34:52 PM,25011509-092,Boarder,C:\Users\admin\Documents\Hostel Entrance System\Captured\BOARDER_2026-01-24_22-34-52.png
1/24/2026 10:35:41 PM,25021553-088,Boarder,C:\Users\admin\Documents\Hostel Entrance System\Captured\BOARDER_2026-01-24_22-35-41.png
1/24/2026 10:35:44 PM,25021553-088,Boarder,C:\Users\admin\Documents\Hostel Entrance System\Captured\BOARDER_2026-01-24_22-35-44.png
1/24/2026 10:35:53 PM,25021553-088,Boarder,C:\Users\admin\Documents\Hostel Entrance System\Captured\BOARDER_2026-01-24_22-35-52.png
1/25/2026 10:31:56 AM,http://www.uog.edu.pk,Invalid QR Code,C:\Users\admin\Documents\Hostel Entrance System\Captured\INVALID_2026-01-25_10-31-56.png
1/25/2026 11:34:41 AM,http://www.uog.edu.pk,Invalid QR Code,C:\Users\admin\Documents\Hostel Entrance System\Captured\INVALID_2026-01-25_11-34-40.png
1/25/2026 11:37:59 AM,23014119-180,Boarder,C:\Users\admin\Documents\Hostel Entrance System\Captured\BOARDER_2026-01-25_11-37-59.png
1/25/2026 11:39:57 AM,23014119-183,Non-Boarder,C:\Users\admin\Documents\Hostel Entrance System\Captured\NONBOARDER_2026-01-25_11-39-57.png
1/25/2026 11:43:10 AM,25021553-088,Boarder,C:\Users\admin\Documents\Hostel Entrance System\Captured\BOARDER_2026-01-25_11-43-09.png
1/25/2026 11:43:54 AM,25011509-092,Boarder,C:\Users\admin\Documents\Hostel Entrance System\Captured\BOARDER_2026-01-25_11-43-54.png
1/25/2026 11:50:22 AM,25011509-092,Boarder,C:\Users\admin\Documents\Hostel Entrance System\Captured\BOARDER_2026-01-25_11-50-22.png
1/25/2026 11:51:11 AM,25021553-088,Boarder,C:\Users\admin\Documents\Hostel Entrance System\Captured\BOARDER_2026-01-25_11-51-11.png
1/25/2026 11:51:39 AM,25011509-092,Boarder,C:\Users\admin\Documents\Hostel Entrance System\Captured\BOARDER_2026-01-25_11-51-39.png
1/25/2026 5:14:18 PM,http://www.uog.edu.pk,Invalid QR Code,C:\Users\admin\Documents\Hostel Entrance System\Captured\INVALID_2026-01-25_17-14-18.png
1/25/2026 5:14:22 PM,http://www.uog.edu.pk,Invalid QR Code,C:\Users\admin\Documents\Hostel Entrance System\Captured\INVALID_2026-01-25_17-14-22.png
1/25/2026 5:14:29 PM,http://www.uog.edu.pk,Invalid QR Code,C:\Users\admin\Documents\Hostel Entrance System\Captured\INVALID_2026-01-25_17-14-29.png
1/25/2026 5:14:33 PM,http://www.uog.edu.pk,Invalid QR Code,C:\Users\admin\Documents\Hostel Entrance System\Captured\INVALID_2026-01-25_17-14-32.png
1/25/2026 8:36:36 PM,http://www.uog.edu.pk,Invalid QR Code,C:\Users\admin\Documents\Hostel Entrance System\Captured\INVALID_2026-01-25_20-36-36.png
1/25/2026 9:04:49 PM,23014119-180,Boarder,C:\Users\admin\Documents\Hostel Entrance System\Captured\BOARDER_2026-01-25_21-04-48.png
1/25/2026 9:04:51 PM,23014119-180,Boarder,C:\Users\admin\Documents\Hostel Entrance System\Captured\BOARDER_2026-01-25_21-04-51.png
1/25/2026 10:00:57 PM,http://www.uog.edu.pk,Invalid QR Code,C:\Users\admin\Documents\Hostel Entrance System\Captured\INVALID_2026-01-25_22-00-57.png
1/25/2026 10:01:40 PM,24011556-242,Boarder,C:\Users\admin\Documents\Hostel Entrance System\Captured\BOARDER_2026-01-25_22-01-40.png
1/26/2026 9:16:10 PM,24011710-001,Boarder,C:\Users\admin\Documents\Hostel Entrance System\Captured\BOARDER_2026-01-26_21-16-09.png
1/26/2026 9:16:36 PM,24011710-010,Boarder,C:\Users\admin\Documents\Hostel Entrance System\Captured\BOARDER_2026-01-26_21-16-36.png
1/26/2026 9:17:56 PM,24021710-017,Boarder,C:\Users\admin\Documents\Hostel Entrance System\Captured\BOARDER_2026-01-26_21-17-55.png
1/26/2026 9:19:09 PM,24011710-001,Boarder,C:\Users\admin\Documents\Hostel Entrance System\Captured\BOARDER_2026-01-26_21-19-09.png
1/26/2026 9:21:48 PM,http://www.uog.edu.pk,Invalid QR Code,C:\Users\admin\Documents\Hostel Entrance System\Captured\INVALID_2026-01-26_21-21-48.png
1/26/2026 9:21:50 PM,http://www.uog.edu.pk,Invalid QR Code,C:\Users\admin\Documents\Hostel Entrance System\Captured\INVALID_2026-01-26_21-21-50.png
1/26/2026 9:47:22 PM,23011556-131,Boarder,C:\Users\admin\Documents\Hostel Entrance System\Captured\BOARDER_2026-01-26_21-47-21.png
1/26/2026 9:47:46 PM,23021519-147,Non-Boarder,C:\Users\admin\Documents\Hostel Entrance System\Captured\NONBOARDER_2026-01-26_21-47-46.png
1/26/2026 9:48:00 PM,http://www.uog.edu.pk,Invalid QR Code,C:\Users\admin\Documents\Hostel Entrance System\Captured\INVALID_2026-01-26_21-48-00.png
1/26/2026 9:48:47 PM,23011556-131,Boarder,C:\Users\admin\Documents\Hostel Entrance System\Captured\BOARDER_2026-01-26_21-48-47.png
1/26/2026 9:50:23 PM,23011556-131,Boarder,C:\Users\admin\Documents\Hostel Entrance System\Captured\BOARDER_2026-01-26_21-50-23.png
1/26/2026 9:50:45 PM,23011556-131,Boarder,C:\Users\admin\Documents\Hostel Entrance System\Captured\BOARDER_2026-01-26_21-50-45.png
1/26/2026 9:51:12 PM,23021519-147,Non-Boarder,C:\Users\admin\Documents\Hostel Entrance System\Captured\NONBOARDER_2026-01-26_21-51-12.png
1/26/2026 9:51:24 PM,23021519-147,Non-Boarder,C:\Users\admin\Documents\Hostel Entrance System\Captured\NONBOARDER_2026-01-26_21-51-24.png
1/26/2026 9:51:56 PM,http://www.uog.edu.pk,Invalid QR Code,C:\Users\admin\Documents\Hostel Entrance System\Captured\INVALID_2026-01-26_21-51-56.png
1/26/2026 9:52:49 PM,23021519-147,Non-Boarder,C:\Users\admin\Documents\Hostel Entrance System\Captured\NONBOARDER_2026-01-26_21-52-49.png
1/26/2026 9:53:27 PM,23021519-147,Non-Boarder,C:\Users\admin\Documents\Hostel Entrance System\Captured\NONBOARDER_2026-01-26_21-53-26.png
1/26/2026 9:53:47 PM,23011556-131,Boarder,C:\Users\admin\Documents\Hostel Entrance System\Captured\BOARDER_2026-01-26_21-53-47.png
1/26/2026 9:54:20 PM,23011556-131,Boarder,C:\Users\admin\Documents\Hostel Entrance System\Captured\BOARDER_2026-01-26_21-54-20.png
1/26/2026 10:01:19 PM,23014119-180,Boarder,C:\Users\admin\Documents\Hostel Entrance System\Captured\BOARDER_2026-01-26_22-01-19.png
1/26/2026 10:01:56 PM,http://www.uog.edu.pk,Invalid QR Code,C:\Users\admin\Documents\Hostel Entrance System\Captured\INVALID_2026-01-26_22-01-56.png
1/26/2026 10:03:59 PM,23014119-147,Boarder,C:\Users\admin\Documents\Hostel Entrance System\Captured\BOARDER_2026-01-26_22-03-59.png
1/26/2026 10:25:28 PM,23014119-147,Boarder,C:\Users\admin\Documents\Hostel Entrance System\Captured\BOARDER_2026-01-26_22-25-28.png
1/26/2026 10:29:56 PM,http://www.uog.edu.pk,Invalid QR Code,C:\Users\admin\Documents\Hostel Entrance System\Captured\INVALID_2026-01-26_22-29-56.png
1/26/2026 10:30:00 PM,http://www.uog.edu.pk,Invalid QR Code,C:\Users\admin\Documents\Hostel Entrance System\Captured\INVALID_2026-01-26_22-30-00.png
1/26/2026 10:30:03 PM,http://www.uog.edu.pk,Invalid QR Code,C:\Users\admin\Documents\Hostel Entrance System\Captured\INVALID_2026-01-26_22-30-03.png
1/26/2026 10:30:06 PM,http://www.uog.edu.pk,Invalid QR Code,C:\Users\admin\Documents\Hostel Entrance System\Captured\INVALID_2026-01-26_22-30-06.png
1/27/2026 3:18:04 PM,23014119-147,Boarder,C:\Users\admin\Documents\Hostel Entrance System\Captured\BOARDER_2026-01-27_15-18-04.png
1/27/2026 3:26:05 PM,24011709-042,Boarder,C:\Users\admin\Documents\Hostel Entrance System\Captured\BOARDER_2026-01-27_15-26-05.png
1/27/2026 3:33:30 PM,23011515-006,Non-Boarder,C:\Users\admin\Documents\Hostel Entrance System\Captured\NONBOARDER_2026-01-27_15-33-30.png
1/27/2026 6:46:07 PM,23011556-110,Boarder,C:\Users\admin\Documents\Hostel Entrance System\Captured\BOARDER_2026-01-27_18-46-06.png
1/27/2026 9:08:22 PM,http://www.uog.edu.pk,Invalid QR Code,C:\Users\admin\Documents\Hostel Entrance System\Captured\INVALID_2026-01-27_21-08-22.png
1/27/2026 9:08:26 PM,http://www.uog.edu.pk,Invalid QR Code,C:\Users\admin\Documents\Hostel Entrance System\Captured\INVALID_2026-01-27_21-08-26.png
1/27/2026 9:08:37 PM,23011556-110,Boarder,C:\Users\admin\Documents\Hostel Entrance System\Captured\BOARDER_2026-01-27_21-08-37.png
1/27/2026 9:09:24 PM,23011556-110,Boarder,C:\Users\admin\Documents\Hostel Entrance System\Captured\BOARDER_2026-01-27_21-09-24.png
1/27/2026 9:09:40 PM,23011556-132,Boarder,C:\Users\admin\Documents\Hostel Entrance System\Captured\BOARDER_2026-01-27_21-09-40.png
1/27/2026 9:13:57 PM,23014119-081,Boarder,C:\Users\admin\Documents\Hostel Entrance System\Captured\BOARDER_2026-01-27_21-13-56.png
1/27/2026 9:14:18 PM,23011556-110,Boarder,C:\Users\admin\Documents\Hostel Entrance System\Captured\BOARDER_2026-01-27_21-14-18.png
1/27/2026 9:14:33 PM,23011556-110,Boarder,C:\Users\admin\Documents\Hostel Entrance System\Captured\BOARDER_2026-01-27_21-14-33.png
1/27/2026 9:14:54 PM,23014119-081,Boarder,C:\Users\admin\Documents\Hostel Entrance System\Captured\BOARDER_2026-01-27_21-14-54.png
1/27/2026 9:15:46 PM,23011556-132,Boarder,C:\Users\admin\Documents\Hostel Entrance System\Captured\BOARDER_2026-01-27_21-15-45.png
1/27/2026 9:16:22 PM,23011556-110,Boarder,C:\Users\admin\Documents\Hostel Entrance System\Captured\BOARDER_2026-01-27_21-16-22.png
1/28/2026 4:23:14 PM,23011556-110,Boarder,C:\Users\admin\Documents\Hostel Entrance System\Captured\BOARDER_2026-01-28_16-23-13.png
1/28/2026 9:11:51 PM,23021519-005,Boarder,C:\Users\admin\Documents\Hostel Entrance System\Captured\BOARDER_2026-01-28_21-11-50.png
1/28/2026 9:24:09 PM,25011509-092,Boarder,C:\Users\admin\Documents\Hostel Entrance System\Captured\BOARDER_2026-01-28_21-24-08.png
1/28/2026 9:26:22 PM,25021553-088,Boarder,C:\Users\admin\Documents\Hostel Entrance System\Captured\BOARDER_2026-01-28_21-26-22.png
1/28/2026 10:00:16 PM,http://www.uog.edu.pk,Invalid QR Code,C:\Users\admin\Documents\Hostel Entrance System\Captured\INVALID_2026-01-28_22-00-16.png
1/29/2026 9:16:32 PM,25014422-005,Boarder,C:\Users\admin\Documents\Hostel Entrance System\Captured\BOARDER_2026-01-29_21-16-32.png
1/29/2026 11:27:13 PM,23011518-075,Boarder,C:\Users\admin\Documents\Hostel Entrance System\Captured\BOARDER_2026-01-29_23-27-13.png
1/30/2026 4:22:33 PM,http://www.uog.edu.pk,Invalid QR Code,C:\Users\admin\Documents\Hostel Entrance System\Captured\INVALID_2026-01-30_16-22-33.png
1/30/2026 11:19:23 PM,http://www.uog.edu.pk,Invalid QR Code,C:\Users\admin\Documents\Hostel Entrance System\Captured\INVALID_2026-01-30_23-19-23.png
1/31/2026 10:45:23 PM,24011519-035,Boarder,C:\Users\admin\Documents\Hostel Entrance System\Captured\BOARDER_2026-01-31_22-45-22.png
2/1/2026 1:53:52 PM,http://www.uog.edu.pk,Invalid QR Code,C:\Users\admin\Documents\Hostel Entrance System\Captured\INVALID_2026-02-01_13-53-51.png
2/1/2026 2:12:45 PM,http://www.uog.edu.pk,Invalid QR Code,C:\Users\admin\Documents\Hostel Entrance System\Captured\INVALID_2026-02-01_14-12-45.png
2/1/2026 2:12:49 PM,http://www.uog.edu.pk,Invalid QR Code,C:\Users\admin\Documents\Hostel Entrance System\Captured\INVALID_2026-02-01_14-12-49.png
2/1/2026 3:23:23 PM,http://www.uog.edu.pk,Invalid QR Code,C:\Users\admin\Documents\Hostel Entrance System\Captured\INVALID_2026-02-01_15-23-23.png
2/1/2026 3:25:08 PM,23011518-075,Boarder,C:\Users\admin\Documents\Hostel Entrance System\Captured\BOARDER_2026-02-01_15-25-08.png
2/1/2026 3:37:53 PM,http://www.uog.edu.pk,Invalid QR Code,C:\Users\admin\Documents\Hostel Entrance System\Captured\INVALID_2026-02-01_15-37-53.png
2/1/2026 3:39:00 PM,http://www.uog.edu.pk,Invalid QR Code,C:\Users\admin\Documents\Hostel Entrance System\Captured\INVALID_2026-02-01_15-39-00.png
2/1/2026 3:39:06 PM,23011508-030,Boarder,C:\Users\admin\Documents\Hostel Entrance System\Captured\BOARDER_2026-02-01_15-39-06.png
2/1/2026 3:39:20 PM,http://www.uog.edu.pk,Invalid QR Code,C:\Users\admin\Documents\Hostel Entrance System\Captured\INVALID_2026-02-01_15-39-20.png
2/1/2026 3:39:23 PM,http://www.uog.edu.pk,Invalid QR Code,C:\Users\admin\Documents\Hostel Entrance System\Captured\INVALID_2026-02-01_15-39-23.png
2/1/2026 3:39:52 PM,23011508-030,Boarder,C:\Users\admin\Documents\Hostel Entrance System\Captured\BOARDER_2026-02-01_15-39-52.png
